Delivery_DAY,Affiliated_Code,Product_Code,Delivery_Uds
20150924,WkwGAAT,Brit700,8
20150922,XCuyAAH,Brit700,8
20150923,WsS0AAL,Brit700,8
20150923,WucfAAD,Brit700,8
20150930,WTo0AAH,Brit700,8
20150923,XKGDAA5,Brit700,8
20150925,WUMsAAP,Brit700,8
20150925,WsMrAAL,Brit700,8
20150930,XCFhAAP,Brit700,8
20150925,WuZEAA1,Brit700,8
20150922,Wu67AAD,Brit700,8
20151001,XKJeAAP,Brit700,8
20150924,XCEuAAP,Brit700,8
20150923,WTmzAAH,Brit700,8
20150922,XC9eAAH,Brit700,8
20150922,WTYVAA5,Brit700,8
20150922,X8cdAAD,Brit700,8
20150922,WqbcAAD,Brit700,8
20150930,WknEAAT,Brit700,8
20150929,WTciAAH,Brit700,8
20150923,XC8iAAH,Brit700,8
20150929,WtrrAAD,Brit700,8
20150924,WTZMAA5,Brit700,8
20150923,XC7HAAX,Brit700,8
20151002,XC7nAAH,Brit700,8
20150922,WTdIAAX,Brit700,8
20150930,Wjl9AAD,Brit700,8
20150930,Wu5eAAD,Brit700,8
20150925,WqaOAAT,Brit700,8
20150925,XKJAAA5,Brit700,8
20150928,WTbvAAH,Brit700,8
20150925,WtcxAAD,Brit700,8
20150928,XA6pAAH,Brit700,8
20150922,XCAnAAP,Brit700,8
20150925,WUWrAAP,Brit700,8
20150924,WkavAAD,Brit700,8
20150924,WU3yAAH,Brit700,8
20150928,Wkv7AAD,Brit700,8
20150928,WsmtAAD,Brit700,8
20150928,XCNyAAP,Brit700,8
20150928,WU3KAAX,Brit700,8
20150925,XCw3AAH,Brit700,8
20150925,WkAHAA1,Brit700,8
20150924,Wl0vAAD,Brit700,8
20150923,WUm7AAH,Brit700,8
20150928,WUPBAA5,Brit700,8
20150922,WuYdAAL,Brit700,8
20150923,Wk1CAAT,Brit700,8
20150923,Wsg8AAD,Brit700,8
20150925,WkC0AAL,Brit700,8
20150924,WkGFAA1,Brit700,8
20150922,WTotAAH,Brit700,8
20151016,WUJAAA5,Brit700,8
20150929,WkbuAAD,Brit700,8
20150929,WkcIAAT,Brit700,8
20150929,XCcgAAH,Brit700,8
20150924,WtXJAA1,Brit700,8
20151015,WtXJAA1,Brit700,8
20150921,WUgHAAX,Brit700,8
20150928,WtQBAA1,Brit700,8
20150921,XCw4AAH,Brit700,8
20150925,WUFoAAP,Brit700,8
20150922,WtmxAAD,Brit700,8
20150925,WuZuAAL,Brit700,8
20150921,XKDlAAP,Brit700,8
20150921,WknUAAT,Brit700,8
20150922,WqN8AAL,Brit700,8
20150925,XCvPAAX,Brit700,8
20151014,XCvjAAH,Brit700,8
20150928,WjLxAAL,Brit700,8
20150922,Wu6gAAD,Brit700,8
20150928,WjMGAA1,Brit700,8
20150923,WqNfAAL,Brit700,8
20150923,Wu1BAAT,Brit700,8
20151016,WqNhAAL,Brit700,8
20150923,WqNjAAL,Brit700,8
20150925,WUlEAAX,Brit700,8
20151016,WUlEAAX,Brit700,8
20150923,WqNmAAL,Brit700,8
20150923,WTMWAA5,Brit700,8
20150922,WjMdAAL,Brit700,8
20150925,WuNxAAL,Brit700,8
20150921,WkabAAD,Brit700,8
20150922,X9zVAAT,Brit700,8
20150928,WkvsAAD,Brit700,8
20150925,WqOMAA1,Brit700,8
20150923,XByvAAH,Brit700,8
20150930,XA2CAAX,Brit700,8
20150930,Wl2rAAD,Brit700,8
20150925,WTNcAAP,Brit700,8
20151016,WTNcAAP,Brit700,8
20150930,WlPyAAL,Brit700,8
20150925,WUkTAAX,Brit700,8
20150921,XCvaAAH,Brit700,8
20150923,WUzzAAH,Brit700,8
20150922,XKFlAAP,Brit700,8
20150929,XBzLAAX,Brit700,8
20150922,XCwLAAX,Brit700,8
20151014,XCwLAAX,Brit700,8
20150923,WjDXAA1,Brit700,8
20150923,XBtMAAX,Brit700,8
20150929,XKBhAAP,Brit700,8
20150921,WlJOAA1,Brit700,8
20150923,WuM1AAL,Brit700,8
20150922,WU6xAAH,Brit700,8
20150925,WUgFAAX,Brit700,8
20150930,WUeIAAX,Brit700,8
20150925,Wu7AAAT,Brit700,8
20150921,WjoVAAT,Brit700,8
20150928,WTF4AAP,Brit700,8
20150930,X8atAAD,Brit700,8
20150923,Wl74AAD,Brit700,8
20150925,WlOmAAL,Brit700,8
20150922,WjEMAA1,Brit700,8
20150923,Wu0sAAD,Brit700,8
20150930,WsKlAAL,Brit700,8
