Route_DAY,Affiliated_Code
20150309,WjeGAAT
20150309,WjeJAAT
20150309,WjemAAD
20150309,WjeuAAD
20150309,WjkHAAT
20150309,WjkxAAD
20150309,Wjl7AAD
20150309,WjlHAAT
20150309,WjlJAAT
20150309,WjlKAAT
20150309,WjlLAAT
20150309,WjN6AAL
20150309,Wjo4AAD
20150309,WjpDAAT
20150309,WjpsAAD
20150309,WjpvAAD
20150309,WjqKAAT
20150309,WjqPAAT
20150309,WjqqAAD
20150309,WjqQAAT
20150309,WjrjAAD
20150309,WjrmAAD
20150309,Wjt0AAD
20150309,WjteAAD
20150309,WjusAAD
20150309,WjuzAAD
20150309,WjvKAAT
20150309,Wjw2AAD
20150309,Wjw3AAD
20150309,Wjw4AAD
20150309,WjxhAAD
20150309,WjxHAAT
20150309,WjxoAAD
20150309,WjxSAAT
20150309,WjyGAAT
20150309,Wk18AAD
20150309,Wk1YAAT
20150309,Wk7MAAT
20150309,Wk7tAAD
20150309,Wk9AAAT
20150309,Wk9sAAD
20150309,WkaBAAT
20150309,WkAHAA1
20150309,WkaIAAT
20150309,WkaoAAD
20150309,WkaPAAT
20150309,WkBVAA1
20150309,WkGDAA1
20150309,WkHQAA1
20150309,WkhRAAT
20150309,WkHTAA1
20150309,WkIcAAL
20150309,WkiKAAT
20150309,WkISAA1
20150309,WkIYAA1
20150309,WklxAAD
20150309,Wkm0AAD
20150309,WkMqAAL
20150309,WkN2AAL
20150309,WknDAAT
20150309,WkoFAAT
20150309,WkONAA1
20150309,WkOoAAL
20150309,WkOpAAL
20150309,Wkp3AAD
20150309,WkpIAAT
20150309,WkTwAAL
20150309,WkudAAD
20150309,WkuLAAT
20150309,WkUSAA1
20150309,WkV3AAL
20150309,Wkv7AAD
20150309,WkVbAAL
20150309,WkvFAAT
20150309,WkvWAAT
20150309,WkwBAAT
20150309,WkZfAAL
20150309,WkzLAAT
20150309,WkZsAAL
20150309,Wl03AAD
20150309,Wl06AAD
20150309,Wl2rAAD
20150309,Wl2RAAT
20150309,Wl6WAAT
20150309,Wl77AAD
20150309,Wl86AAD
20150309,WlGlAAL
20150309,WlGrAAL
20150309,WlHJAA1
20150309,WlHUAA1
