OoS_DAY,Affiliated_Code,Product_Code
20150326,WUZ9AAP,Natu079
20150326,Wl2rAAD,Dome363
20150326,WqjSAAT,Natu079
20150326,WjqcAAD,Dome363
20150312,Wl2rAAD,Dome363
20150312,WTlMAAX,Dome363
20150319,Wl2rAAD,Dome363
20150319,WtIoAAL,Natu079
20150316,WToCAAX,Dome797
20150316,Wu6lAAD,Inte615
20150316,WUpAAAX,Inte615
20150316,WTgBAAX,Dome797
20150319,WqjSAAT,Natu079
20150319,WsQdAAL,Natu079
20150319,WsRkAAL,Dome363
20150319,WjqcAAD,Dome363
20150427,Wt1pAAD,Inte943
20150427,WUtSAAX,Inte943
20150320,WTdQAAX,Inte943
20150320,Wte2AAD,Inte943
20150316,WsQdAAL,Dome363
20150316,WjqcAAD,Dome363
20150316,XAVqAAP,Dome363
20150309,WTlMAAX,Dome363
20150316,WTcCAAX,Dome797
20150309,WUpAAAX,Inte615
20150309,WTgBAAX,Dome797
20150309,XCiKAAX,Dome797
20150320,WUiQAAX,Inte943
20150516,XCUeAAP,Inte943
20150516,XCSUAA5,Inte943
20150328,WUiQAAX,Inte943
20150321,WsKSAA1,Dome797
20150309,WTdiAAH,Inte615
20150318,WktpAAD,Dome797
20150318,WsKSAA1,Dome797
20150309,WUX6AAP,Dome363
20150316,Wl2rAAD,Dome363
20150316,WtIoAAL,Natu079
20150316,WTktAAH,Dome363
20150323,XAbdAAH,Brit555
20150312,WTj1AAH,Brit555
20150312,XAbdAAH,Brit555
20150319,WTMXAA5,Brit555
20150319,WktpAAD,Dome797
20150312,Wto3AAD,Inte615
20150324,WtXaAAL,Dome797
20150324,WsKSAA1,Dome797
20150605,XCUeAAP,Inte943
20150519,XCUeAAP,Inte943
20150519,XCSUAA5,Inte943
20150511,XCUeAAP,Inte943
20150316,WTzsAAH,Natu079
20150316,WlQFAA1,Dome363
20150316,WuTFAA1,Dome363
20150316,WuTFAA1,Natu079
20150312,WUpAAAX,Inte615
20150312,WTgBAAX,Dome797
20150324,WUF2AAP,Dome797
20150323,WUpAAAX,Inte615
20150320,WkOmAAL,Inte943
20150409,WUtSAAX,Inte943
20150328,WkOmAAL,Inte943
20150312,WTdQAAX,Inte943
20150427,WjElAAL,Inte943
20150320,Wl0vAAD,Inte943
20150516,XA1TAAX,Inte943
20150321,Wl0vAAD,Inte943
20150312,XCP8AAP,Natu723
20150312,WudvAAD,Natu723
20150320,WjsBAAT,Natu723
20150320,WjwRAAT,Brit090
20150323,WTgBAAX,Dome797
20150323,Wu58AAD,Dome797
20150323,WUF2AAP,Dome797
20150323,WUA4AAP,Dome797
20150323,WsKSAA1,Dome797
20150323,WTdiAAH,Inte615
20150323,Wl0BAAT,Dome797
20150323,XCwIAAX,Dome797
20150323,WjqcAAD,Dome363
20150323,WkpqAAD,Dome363
20150323,WkpqAAD,Natu079
20150323,WTzsAAH,Natu079
20150312,Wte2AAD,Inte943
20150605,WttTAAT,Inte943
20150519,Wt1pAAD,Inte943
20150413,WkOmAAL,Inte943
20150427,WtsoAAD,Inte943
20150409,WtsoAAD,Inte943
20150401,WtsoAAD,Inte943
20150413,XCXXAA5,Inte943
20150328,Wl0vAAD,Inte943
20150312,Wl0vAAD,Inte943
20150519,XA1TAAX,Inte943
20150511,XA1TAAX,Inte943
20150311,XCSUAA5,Inte943
20150323,WUiQAAX,Inte943
20150325,WUiQAAX,Inte943
20150502,WuakAAD,Inte943
20150320,XCP8AAP,Natu723
20150320,WudvAAD,Natu723
20150316,WjwRAAT,Brit090
20150316,XCP8AAP,Natu723
20150317,Wu6lAAD,Inte615
20150317,WUpAAAX,Inte615
20150317,WTgBAAX,Dome797
20150317,WTcCAAX,Dome797
20150323,WtXaAAL,Dome797
20150323,Wto3AAD,Inte615
20150325,WkBVAA1,Dome797
20150325,WTdiAAH,Inte615
20150323,WlQFAA1,Dome363
20150323,WsmsAAD,Dome363
20150324,WUZ9AAP,Natu079
20150324,Wl2rAAD,Dome363
20150311,WTdQAAX,Inte943
20150311,Wte2AAD,Inte943
20150323,Wte2AAD,Inte943
20150323,WkOmAAL,Inte943
20150318,WToWAAX,Dome206
20150318,WUlzAAH,Dome206
20150318,WuNiAAL,Dome206
20150318,WkwDAAT,Dome206
20150324,WqjSAAT,Natu079
20150324,WjqcAAD,Dome363
20150328,WknXAAT,Dome363
20150328,WUZ9AAP,Natu079
20150316,WUlzAAH,Dome206
20150316,WsK2AAL,Dome206
20150316,WuNiAAL,Dome206
20150316,WkwDAAT,Dome206
20150310,WTj1AAH,Brit555
20150310,XAbdAAH,Brit555
20150318,WTMXAA5,Brit555
20150309,WTj1AAH,Brit555
20150311,Wl0vAAD,Inte943
20150325,Wl0vAAD,Inte943
20150323,Wl0vAAD,Inte943
20150402,Wl0vAAD,Inte943
20150310,XCSUAA5,Inte943
20150309,XCSUAA5,Inte943
20150518,XCUeAAP,Inte943
20150518,XCSUAA5,Inte943
20150316,WudvAAD,Natu723
20150318,WjsBAAT,Natu723
20150318,WjwRAAT,Brit090
20150323,WjsBAAT,Natu723
20150317,WsucAAD,Dome797
20150317,XCOSAA5,Dome797
20150317,XCT7AAP,Dome797
20150317,WUF2AAP,Dome797
20150427,WudZAAT,Inte943
20150409,WU4qAAH,Inte943
20150328,WU4qAAH,Inte943
20150401,WU4qAAH,Inte943
20150323,XCXXAA5,Inte943
20150422,WtsoAAD,Inte943
20150325,XCXXAA5,Inte943
20150423,WtsoAAD,Inte943
20150328,Wl2rAAD,Dome363
20150319,WUZ9AAP,Natu079
